n,b,Constant
536,"(1, 2, 3, 6, 10, 16, 24, 37, 56, 83, 121, 177)",0.49527
537,"(1, 2, 3, 6, 10, 16, 25, 37, 56, 83, 121, 177)",0.49528
538,"(1, 2, 3, 6, 10, 16, 25, 37, 56, 83, 122, 177)",0.49529
539,"(1, 2, 3, 6, 10, 16, 25, 37, 56, 83, 122, 178)",0.49530
540,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 83, 122, 178)",0.49530
541,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 84, 122, 178)",0.49531
542,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 84, 122, 179)",0.49532
543,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 84, 123, 179)",0.49533
544,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 84, 123, 179)",0.49534
545,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 84, 123, 180)",0.49535
546,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 84, 124, 180)",0.49535
547,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 85, 124, 180)",0.49536
548,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 85, 124, 181)",0.49537
549,"(1, 2, 4, 6, 10, 16, 25, 38, 57, 85, 124, 181)",0.49538
550,"(1, 2, 4, 6, 10, 16, 25, 38, 57, 85, 125, 181)",0.49538
551,"(1, 2, 4, 6, 10, 16, 25, 38, 58, 85, 125, 181)",0.49539
552,"(1, 2, 4, 6, 10, 16, 25, 38, 58, 85, 125, 182)",0.49540
553,"(1, 2, 4, 6, 10, 16, 25, 39, 58, 85, 125, 182)",0.49541
554,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 85, 125, 182)",0.49542
555,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 85, 125, 183)",0.49542
556,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 86, 125, 183)",0.49543
557,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 86, 126, 183)",0.49544
558,"(1, 2, 4, 6, 10, 17, 26, 39, 58, 86, 126, 183)",0.49545
559,"(1, 2, 4, 6, 10, 17, 26, 39, 58, 86, 126, 184)",0.49546
560,"(1, 2, 4, 6, 10, 17, 26, 39, 58, 86, 127, 184)",0.49546
561,"(1, 2, 4, 6, 10, 17, 26, 39, 58, 86, 127, 185)",0.49547
562,"(1, 2, 4, 6, 10, 17, 26, 39, 59, 86, 127, 185)",0.49548
563,"(1, 2, 4, 6, 10, 17, 26, 39, 59, 87, 127, 185)",0.49549
564,"(1, 2, 4, 6, 11, 17, 26, 39, 59, 87, 127, 185)",0.49549
565,"(1, 2, 4, 6, 11, 17, 26, 39, 59, 87, 127, 186)",0.49550
566,"(1, 2, 4, 6, 11, 17, 26, 39, 59, 87, 128, 186)",0.49551
567,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 87, 128, 186)",0.49552
568,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 87, 128, 187)",0.49552
569,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 88, 128, 187)",0.49553
570,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 88, 129, 187)",0.49554
571,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 88, 129, 188)",0.49555
572,"(1, 2, 4, 6, 11, 17, 26, 40, 60, 88, 129, 188)",0.49555
573,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 88, 129, 188)",0.49556
574,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 88, 129, 189)",0.49557
575,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 88, 130, 189)",0.49558
576,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 89, 130, 189)",0.49558
577,"(1, 2, 4, 7, 11, 17, 27, 40, 60, 89, 130, 189)",0.49559
578,"(1, 2, 4, 7, 11, 17, 27, 40, 60, 89, 130, 190)",0.49560
579,"(1, 2, 4, 7, 11, 17, 27, 40, 60, 89, 131, 190)",0.49560
580,"(1, 2, 4, 7, 11, 17, 27, 41, 60, 89, 131, 190)",0.49561
581,"(1, 2, 4, 7, 11, 17, 27, 41, 60, 89, 131, 191)",0.49562
582,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 89, 131, 191)",0.49563
583,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 90, 131, 191)",0.49563
584,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 90, 132, 191)",0.49564
585,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 90, 132, 192)",0.49565
586,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 90, 132, 192)",0.49565
587,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 90, 132, 193)",0.49566
588,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 90, 133, 193)",0.49567
589,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 91, 133, 193)",0.49568
590,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 91, 133, 194)",0.49568
591,"(1, 2, 4, 7, 11, 18, 27, 41, 62, 91, 133, 194)",0.49569
592,"(1, 2, 4, 7, 11, 18, 27, 41, 62, 91, 134, 194)",0.49570
593,"(1, 2, 4, 7, 11, 18, 27, 42, 62, 91, 134, 194)",0.49570
594,"(1, 2, 4, 7, 11, 18, 27, 42, 62, 91, 134, 195)",0.49571
595,"(1, 2, 4, 7, 11, 18, 27, 42, 62, 92, 134, 195)",0.49572
596,"(1, 2, 4, 7, 11, 18, 28, 42, 62, 92, 134, 195)",0.49572
597,"(1, 2, 4, 7, 11, 18, 28, 42, 62, 92, 134, 196)",0.49573
598,"(1, 2, 4, 7, 11, 18, 28, 42, 62, 92, 135, 196)",0.49574
599,"(1, 2, 4, 7, 11, 18, 28, 42, 63, 92, 135, 196)",0.49574
600,"(1, 2, 4, 7, 11, 18, 28, 42, 63, 92, 135, 197)",0.49575
601,"(1, 2, 4, 7, 11, 18, 28, 42, 63, 93, 135, 197)",0.49576
602,"(1, 2, 4, 7, 11, 18, 28, 42, 63, 93, 136, 197)",0.49576
603,"(1, 2, 4, 7, 12, 18, 28, 42, 63, 93, 136, 197)",0.49577
604,"(1, 2, 4, 7, 12, 18, 28, 42, 63, 93, 136, 198)",0.49578
605,"(1, 2, 4, 7, 12, 18, 28, 42, 63, 93, 137, 198)",0.49578
606,"(1, 2, 4, 7, 12, 18, 28, 42, 63, 93, 137, 199)",0.49579
607,"(1, 2, 4, 7, 12, 18, 28, 43, 63, 93, 137, 199)",0.49580
608,"(1, 2, 4, 7, 12, 18, 28, 43, 63, 94, 137, 199)",0.49580
609,"(1, 2, 4, 7, 12, 18, 28, 43, 64, 94, 137, 199)",0.49581
610,"(1, 2, 4, 7, 12, 18, 28, 43, 64, 94, 137, 200)",0.49582
611,"(1, 2, 4, 7, 12, 18, 28, 43, 64, 94, 138, 200)",0.49582
612,"(1, 2, 4, 7, 12, 19, 28, 43, 64, 94, 138, 200)",0.49583
613,"(1, 2, 4, 7, 12, 19, 28, 43, 64, 94, 138, 201)",0.49584
614,"(1, 2, 4, 7, 12, 19, 28, 43, 64, 95, 138, 201)",0.49584
615,"(1, 2, 4, 7, 12, 19, 29, 43, 64, 95, 138, 201)",0.49585
616,"(1, 2, 4, 7, 12, 19, 29, 43, 64, 95, 139, 201)",0.49585
617,"(1, 2, 4, 7, 12, 19, 29, 43, 64, 95, 139, 202)",0.49586
618,"(1, 2, 4, 7, 12, 19, 29, 43, 65, 95, 139, 202)",0.49587
619,"(1, 2, 4, 7, 12, 19, 29, 43, 65, 95, 139, 203)",0.49587
620,"(1, 2, 4, 7, 12, 19, 29, 43, 65, 95, 140, 203)",0.49588
621,"(1, 2, 4, 7, 12, 19, 29, 44, 65, 95, 140, 203)",0.49588
622,"(1, 2, 4, 7, 12, 19, 29, 44, 65, 96, 140, 203)",0.49589
623,"(1, 2, 4, 7, 12, 19, 29, 44, 65, 96, 140, 204)",0.49590
624,"(1, 2, 4, 7, 12, 19, 29, 44, 65, 96, 141, 204)",0.49590
625,"(1, 2, 4, 8, 12, 19, 29, 44, 65, 96, 141, 204)",0.49591
626,"(1, 2, 4, 8, 12, 19, 29, 44, 65, 96, 141, 205)",0.49592
627,"(1, 2, 4, 8, 12, 19, 29, 44, 65, 97, 141, 205)",0.49592
628,"(1, 2, 4, 8, 12, 19, 29, 44, 66, 97, 141, 205)",0.49593
629,"(1, 2, 4, 8, 12, 19, 29, 44, 66, 97, 141, 206)",0.49593
630,"(1, 2, 4, 8, 12, 19, 29, 44, 66, 97, 142, 206)",0.49594
631,"(1, 2, 4, 8, 12, 19, 29, 44, 66, 97, 142, 207)",0.49595
632,"(1, 2, 4, 8, 12, 19, 30, 44, 66, 97, 142, 207)",0.49595
633,"(1, 2, 4, 8, 12, 19, 30, 44, 66, 97, 143, 207)",0.49596
634,"(1, 2, 4, 8, 12, 19, 30, 44, 66, 98, 143, 207)",0.49596
635,"(1, 2, 4, 8, 12, 19, 30, 45, 66, 98, 143, 207)",0.49597
636,"(1, 2, 4, 8, 12, 19, 30, 45, 66, 98, 143, 208)",0.49598
637,"(1, 2, 5, 8, 12, 19, 30, 45, 66, 98, 143, 208)",0.49598
638,"(1, 2, 5, 8, 12, 19, 30, 45, 67, 98, 143, 208)",0.49599
639,"(1, 2, 5, 8, 12, 19, 30, 45, 67, 98, 143, 209)",0.49599
640,"(1, 2, 5, 8, 12, 19, 30, 45, 67, 98, 144, 209)",0.49600
641,"(1, 2, 5, 8, 12, 19, 30, 45, 67, 99, 144, 209)",0.49601
642,"(1, 2, 5, 8, 12, 19, 30, 45, 67, 99, 144, 210)",0.49601
643,"(1, 2, 5, 8, 12, 20, 30, 45, 67, 99, 144, 210)",0.49602
644,"(1, 2, 5, 8, 12, 20, 30, 45, 67, 99, 145, 210)",0.49602
645,"(1, 2, 5, 8, 12, 20, 30, 45, 67, 99, 145, 211)",0.49603
646,"(1, 2, 5, 8, 12, 20, 30, 45, 68, 99, 145, 211)",0.49603
647,"(1, 2, 5, 8, 12, 20, 30, 45, 68, 100, 145, 211)",0.49604
648,"(1, 2, 5, 8, 12, 20, 30, 45, 68, 100, 146, 211)",0.49605
649,"(1, 2, 5, 8, 12, 20, 30, 45, 68, 100, 146, 212)",0.49605
650,"(1, 2, 5, 8, 13, 20, 30, 45, 68, 100, 146, 212)",0.49606
651,"(1, 2, 5, 8, 13, 20, 30, 46, 68, 100, 146, 212)",0.49606
652,"(1, 2, 5, 8, 13, 20, 30, 46, 68, 100, 146, 213)",0.49607
653,"(1, 2, 5, 8, 13, 20, 30, 46, 68, 100, 147, 213)",0.49608
654,"(1, 2, 5, 8, 13, 20, 30, 46, 68, 101, 147, 213)",0.49608
655,"(1, 2, 5, 8, 13, 20, 30, 46, 68, 101, 147, 214)",0.49609
656,"(1, 2, 5, 8, 13, 20, 31, 46, 68, 101, 147, 214)",0.49609
657,"(1, 2, 5, 8, 13, 20, 31, 46, 68, 101, 148, 214)",0.49610
658,"(1, 2, 5, 8, 13, 20, 31, 46, 69, 101, 148, 214)",0.49610
659,"(1, 2, 5, 8, 13, 20, 31, 46, 69, 101, 148, 215)",0.49611
660,"(1, 2, 5, 8, 13, 20, 31, 46, 69, 102, 148, 215)",0.49611
661,"(1, 2, 5, 8, 13, 20, 31, 46, 69, 102, 148, 216)",0.49612
662,"(1, 3, 5, 8, 13, 20, 31, 46, 69, 102, 148, 216)",0.49613
663,"(1, 3, 5, 8, 13, 20, 31, 46, 69, 102, 149, 216)",0.49613
664,"(1, 3, 5, 8, 13, 20, 31, 47, 69, 102, 149, 216)",0.49614
665,"(1, 3, 5, 8, 13, 20, 31, 47, 69, 102, 149, 217)",0.49614
666,"(1, 3, 5, 8, 13, 20, 31, 47, 69, 102, 150, 217)",0.49615
667,"(1, 3, 5, 8, 13, 20, 31, 47, 70, 102, 150, 217)",0.49615
668,"(1, 3, 5, 8, 13, 20, 31, 47, 70, 102, 150, 218)",0.49616
669,"(1, 3, 5, 8, 13, 20, 31, 47, 70, 103, 150, 218)",0.49617
670,"(1, 3, 5, 8, 13, 20, 31, 47, 70, 103, 150, 219)",0.49617
671,"(1, 3, 5, 8, 13, 20, 31, 47, 70, 103, 151, 219)",0.49618
672,"(1, 3, 5, 8, 13, 21, 31, 47, 70, 103, 151, 219)",0.49618
673,"(1, 3, 5, 8, 13, 21, 31, 47, 70, 103, 151, 220)",0.49619
674,"(1, 3, 5, 8, 13, 21, 31, 47, 70, 104, 151, 220)",0.49619
675,"(1, 3, 5, 8, 13, 21, 32, 47, 70, 104, 151, 220)",0.49620
676,"(1, 3, 5, 8, 13, 21, 32, 47, 70, 104, 152, 220)",0.49620
677,"(1, 3, 5, 8, 13, 21, 32, 47, 71, 104, 152, 220)",0.49621
678,"(1, 3, 5, 8, 13, 21, 32, 47, 71, 104, 152, 221)",0.49621
679,"(1, 3, 5, 8, 13, 21, 32, 48, 71, 104, 152, 221)",0.49622
680,"(1, 3, 5, 8, 13, 21, 32, 48, 71, 104, 153, 221)",0.49622
681,"(1, 3, 5, 8, 13, 21, 32, 48, 71, 104, 153, 222)",0.49623
682,"(1, 3, 5, 8, 13, 21, 32, 48, 71, 105, 153, 222)",0.49623
683,"(1, 3, 5, 8, 13, 21, 32, 48, 71, 105, 153, 223)",0.49624
684,"(1, 3, 5, 8, 13, 21, 32, 48, 71, 105, 154, 223)",0.49624
685,"(1, 3, 5, 8, 13, 21, 32, 48, 72, 105, 154, 223)",0.49625
686,"(1, 3, 5, 8, 14, 21, 32, 48, 72, 105, 154, 223)",0.49625
687,"(1, 3, 5, 8, 14, 21, 32, 48, 72, 105, 154, 224)",0.49626
688,"(1, 3, 5, 8, 14, 21, 32, 48, 72, 106, 154, 224)",0.49626
689,"(1, 3, 5, 8, 14, 21, 32, 48, 72, 106, 155, 224)",0.49627
690,"(1, 3, 5, 8, 14, 21, 32, 48, 72, 106, 155, 225)",0.49627
691,"(1, 3, 5, 8, 14, 21, 32, 49, 72, 106, 155, 225)",0.49628
692,"(1, 3, 5, 8, 14, 21, 32, 49, 72, 106, 155, 226)",0.49629
693,"(1, 3, 5, 8, 14, 21, 33, 49, 72, 106, 155, 226)",0.49629
694,"(1, 3, 5, 8, 14, 21, 33, 49, 72, 106, 156, 226)",0.49629
695,"(1, 3, 5, 8, 14, 21, 33, 49, 72, 107, 156, 226)",0.49630
696,"(1, 3, 5, 8, 14, 21, 33, 49, 73, 107, 156, 226)",0.49630
697,"(1, 3, 5, 8, 14, 21, 33, 49, 73, 107, 156, 227)",0.49631
698,"(1, 3, 5, 9, 14, 21, 33, 49, 73, 107, 156, 227)",0.49632
699,"(1, 3, 5, 9, 14, 21, 33, 49, 73, 107, 157, 227)",0.49632
700,"(1, 3, 5, 9, 14, 21, 33, 49, 73, 107, 157, 228)",0.49633
701,"(1, 3, 5, 9, 14, 21, 33, 49, 73, 108, 157, 228)",0.49633
702,"(1, 3, 5, 9, 14, 22, 33, 49, 73, 108, 157, 228)",0.49634
703,"(1, 3, 5, 9, 14, 22, 33, 49, 73, 108, 157, 229)",0.49634
704,"(1, 3, 5, 9, 14, 22, 33, 49, 73, 108, 158, 229)",0.49635
705,"(1, 3, 5, 9, 14, 22, 33, 49, 74, 108, 158, 229)",0.49635
706,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 108, 158, 229)",0.49635
707,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 108, 158, 230)",0.49636
708,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 109, 158, 230)",0.49637
709,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 109, 159, 230)",0.49637
710,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 109, 159, 231)",0.49637
711,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 109, 160, 231)",0.49638
712,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 109, 160, 232)",0.49638
713,"(1, 3, 5, 9, 14, 22, 34, 50, 74, 109, 160, 232)",0.49639
714,"(1, 3, 5, 9, 14, 22, 34, 50, 74, 110, 160, 232)",0.49639
715,"(1, 3, 5, 9, 14, 22, 34, 50, 75, 110, 160, 232)",0.49640
716,"(1, 3, 5, 9, 14, 22, 34, 50, 75, 110, 160, 233)",0.49640
717,"(1, 3, 5, 9, 14, 22, 34, 50, 75, 110, 161, 233)",0.49641
718,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 110, 161, 233)",0.49641
719,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 110, 161, 234)",0.49642
720,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 111, 161, 234)",0.49642
721,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 111, 162, 234)",0.49643
722,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 111, 162, 235)",0.49643
723,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 75, 111, 162, 235)",0.49644
724,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 111, 162, 235)",0.49644
725,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 111, 162, 236)",0.49645
726,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 111, 163, 236)",0.49645
727,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 112, 163, 236)",0.49645
728,"(1, 1, 3, 5, 9, 14, 23, 34, 51, 76, 112, 163, 236)",0.49646
729,"(1, 1, 3, 5, 9, 14, 23, 34, 51, 76, 112, 163, 237)",0.49646
730,"(1, 1, 3, 5, 9, 14, 23, 34, 52, 76, 112, 163, 237)",0.49647
731,"(1, 1, 3, 5, 9, 14, 23, 34, 52, 76, 112, 164, 237)",0.49647
732,"(1, 1, 3, 5, 9, 14, 23, 34, 52, 76, 112, 164, 238)",0.49648
733,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 76, 112, 164, 238)",0.49648
734,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 112, 164, 238)",0.49649
735,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 113, 164, 238)",0.49649
736,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 113, 164, 239)",0.49650
737,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 113, 165, 239)",0.49650
738,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 113, 165, 239)",0.49650
739,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 113, 165, 240)",0.49651
740,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 113, 166, 240)",0.49651
741,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 114, 166, 240)",0.49652
742,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 114, 166, 241)",0.49652
743,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 78, 114, 166, 241)",0.49653
744,"(1, 1, 3, 6, 9, 15, 23, 35, 52, 78, 114, 166, 241)",0.49653
745,"(1, 1, 3, 6, 9, 15, 23, 35, 52, 78, 114, 166, 242)",0.49653
746,"(1, 1, 3, 6, 9, 15, 23, 35, 52, 78, 114, 167, 242)",0.49654
747,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78, 114, 167, 242)",0.49654
748,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78, 115, 167, 242)",0.49655
749,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78, 115, 167, 243)",0.49655